timestamp,district,grid_lat,grid_lon,seasonal_rain_mm,seasonal_rain_threshold_90,actual_rain_mm
2022-06-01 00:00:00,LAT9.75_LON77.75,9.75,77.75,1000.4281,2246.41,2.7409
2022-06-01 00:00:00,LAT9.75_LON78.0,9.75,78.0,1400.9443,2246.41,3.8382
2022-06-01 00:00:00,LAT9.75_LON78.25,9.75,78.25,986.1725,2246.41,2.7018
2022-06-01 00:00:00,LAT9.75_LON78.5,9.75,78.5,872.6677,2246.41,2.3909
2022-06-01 00:00:00,LAT9.75_LON78.75,9.75,78.75,769.215,2246.41,2.1074
2022-06-01 00:00:00,LAT10.0_LON76.0,10.0,76.0,3350.36,2246.41,9.1791
2022-06-01 00:00:00,LAT10.0_LON76.25,10.0,76.25,3304.7,2246.41,9.054
2022-06-01 00:00:00,LAT10.0_LON76.5,10.0,76.5,3596.3552,2246.41,9.853
2022-06-01 00:00:00,LAT10.0_LON76.75,10.0,76.75,4041.7715,2246.41,11.0733
2022-06-01 00:00:00,LAT10.0_LON77.0,10.0,77.0,3144.569,2246.41,8.6153
2022-06-01 00:00:00,LAT10.0_LON77.25,10.0,77.25,1239.4158,2246.41,3.3957
2022-06-01 00:00:00,LAT10.0_LON77.5,10.0,77.5,1394.2664,2246.41,3.8199
2022-06-01 00:00:00,LAT10.0_LON77.75,10.0,77.75,1126.3099,2246.41,3.0858
2022-06-01 00:00:00,LAT10.0_LON78.0,10.0,78.0,1018.4155,2246.41,2.7902
2022-06-01 00:00:00,LAT10.0_LON78.25,10.0,78.25,1001.1003,2246.41,2.7427
2022-06-01 00:00:00,LAT10.0_LON78.5,10.0,78.5,1089.5317,2246.41,2.985
2022-06-01 00:00:00,LAT10.0_LON78.75,10.0,78.75,994.2581,2246.41,2.724
2022-06-01 00:00:00,LAT10.0_LON79.0,10.0,79.0,1050.7444,2246.41,2.8788
2022-06-01 00:00:00,LAT10.25_LON76.0,10.25,76.0,3056.0193,2246.41,8.3727
2022-06-01 00:00:00,LAT10.25_LON76.25,10.25,76.25,3232.0273,2246.41,8.8549
2022-06-01 00:00:00,LAT10.25_LON76.5,10.25,76.5,3339.5127,2246.41,9.1494
2022-06-01 00:00:00,LAT10.25_LON76.75,10.25,76.75,4243.922,2246.41,11.6272
2022-06-01 00:00:00,LAT10.25_LON77.0,10.25,77.0,4044.514,2246.41,11.0809
2022-06-01 00:00:00,LAT10.25_LON77.25,10.25,77.25,2101.7627,2246.41,5.7583
2022-06-01 00:00:00,LAT10.25_LON77.5,10.25,77.5,1632.1683,2246.41,4.4717
2022-06-01 00:00:00,LAT10.25_LON77.75,10.25,77.75,1250.9229,2246.41,3.4272
2022-06-01 00:00:00,LAT10.25_LON78.0,10.25,78.0,1444.5618,2246.41,3.9577
2022-06-01 00:00:00,LAT10.25_LON78.25,10.25,78.25,1107.9702,2246.41,3.0355
2022-06-01 00:00:00,LAT10.25_LON78.5,10.25,78.5,1180.7919,2246.41,3.235
2022-06-01 00:00:00,LAT10.25_LON78.75,10.25,78.75,1137.1068,2246.41,3.1154
2022-06-01 00:00:00,LAT10.25_LON79.0,10.25,79.0,1178.8462,2246.41,3.2297
2022-06-01 00:00:00,LAT10.25_LON79.25,10.25,79.25,1495.7592,2246.41,4.098
2022-06-01 00:00:00,LAT10.5_LON76.0,10.5,76.0,2412.917,2246.41,6.6107
2022-06-01 00:00:00,LAT10.5_LON76.25,10.5,76.25,2523.072,2246.41,6.9125
2022-06-01 00:00:00,LAT10.5_LON76.5,10.5,76.5,1964.2168,2246.41,5.3814
2022-06-01 00:00:00,LAT10.5_LON76.75,10.5,76.75,2940.079,2246.41,8.055
2022-06-01 00:00:00,LAT10.5_LON77.0,10.5,77.0,1447.8411,2246.41,3.9667
2022-06-01 00:00:00,LAT10.5_LON77.25,10.5,77.25,761.5326,2246.41,2.0864
2022-06-01 00:00:00,LAT10.5_LON77.5,10.5,77.5,988.2639,2246.41,2.7076
2022-06-01 00:00:00,LAT10.5_LON77.75,10.5,77.75,1277.3608,2246.41,3.4996
2022-06-01 00:00:00,LAT10.5_LON78.0,10.5,78.0,810.8205,2246.41,2.2214
2022-06-01 00:00:00,LAT10.5_LON78.25,10.5,78.25,902.4089,2246.41,2.4724
2022-06-01 00:00:00,LAT10.5_LON78.5,10.5,78.5,599.7232,2246.41,1.6431
2022-06-01 00:00:00,LAT10.5_LON78.75,10.5,78.75,771.9782,2246.41,2.115
2022-06-01 00:00:00,LAT10.5_LON79.0,10.5,79.0,798.5344,2246.41,2.1878
2022-06-01 00:00:00,LAT10.5_LON79.25,10.5,79.25,1302.8267,2246.41,3.5694
2022-06-01 00:00:00,LAT10.5_LON79.5,10.5,79.5,1341.8774,2246.41,3.6764
2022-06-01 00:00:00,LAT10.5_LON79.75,10.5,79.75,1640.3125,2246.41,4.494
2022-06-01 00:00:00,LAT10.75_LON75.75,10.75,75.75,2439.8665,2246.41,6.6846
2022-06-01 00:00:00,LAT10.75_LON76.0,10.75,76.0,2159.8103,2246.41,5.9173
2022-06-01 00:00:00,LAT10.75_LON76.25,10.75,76.25,2150.8557,2246.41,5.8928
2022-06-01 00:00:00,LAT10.75_LON76.5,10.75,76.5,2621.0017,2246.41,7.1808
2022-06-01 00:00:00,LAT10.75_LON76.75,10.75,76.75,1650.9408,2246.41,4.5231
2022-06-01 00:00:00,LAT10.75_LON77.0,10.75,77.0,886.4493,2246.41,2.4286
2022-06-01 00:00:00,LAT10.75_LON77.25,10.75,77.25,723.0062,2246.41,1.9808
2022-06-01 00:00:00,LAT10.75_LON77.5,10.75,77.5,548.13,2246.41,1.5017
2022-06-01 00:00:00,LAT10.75_LON77.75,10.75,77.75,905.1602,2246.41,2.4799
2022-06-01 00:00:00,LAT10.75_LON78.0,10.75,78.0,767.8248,2246.41,2.1036
2022-06-01 00:00:00,LAT10.75_LON78.25,10.75,78.25,233.626,2246.41,0.6401
2022-06-01 00:00:00,LAT10.75_LON78.5,10.75,78.5,857.3812,2246.41,2.349
2022-06-01 00:00:00,LAT10.75_LON78.75,10.75,78.75,978.7383,2246.41,2.6815
2022-06-01 00:00:00,LAT10.75_LON79.0,10.75,79.0,1678.1504,2246.41,4.5977
2022-06-01 00:00:00,LAT10.75_LON79.25,10.75,79.25,1525.4216,2246.41,4.1792
2022-06-01 00:00:00,LAT10.75_LON79.5,10.75,79.5,1573.9406,2246.41,4.3122
2022-06-01 00:00:00,LAT10.75_LON79.75,10.75,79.75,1324.0529,2246.41,3.6275
2022-06-01 00:00:00,LAT11.0_LON75.75,11.0,75.75,3056.4033,2246.41,8.3737
2022-06-01 00:00:00,LAT11.0_LON76.0,11.0,76.0,2281.8242,2246.41,6.2516
2022-06-01 00:00:00,LAT11.0_LON76.25,11.0,76.25,3043.4075,2246.41,8.3381
2022-06-01 00:00:00,LAT11.0_LON76.5,11.0,76.5,2686.9495,2246.41,7.3615
2022-06-01 00:00:00,LAT11.0_LON76.75,11.0,76.75,599.8354,2246.41,1.6434
2022-06-01 00:00:00,LAT11.0_LON77.0,11.0,77.0,507.7216,2246.41,1.391
2022-06-01 00:00:00,LAT11.0_LON77.25,11.0,77.25,929.0999,2246.41,2.5455
2022-06-01 00:00:00,LAT11.0_LON77.5,11.0,77.5,834.4616,2246.41,2.2862
2022-06-01 00:00:00,LAT11.0_LON77.75,11.0,77.75,1074.5828,2246.41,2.9441
2022-06-01 00:00:00,LAT11.0_LON78.0,11.0,78.0,804.459,2246.41,2.204
2022-06-01 00:00:00,LAT11.0_LON78.25,11.0,78.25,656.0532,2246.41,1.7974
2022-06-01 00:00:00,LAT11.0_LON78.5,11.0,78.5,811.8783,2246.41,2.2243
2022-06-01 00:00:00,LAT11.0_LON78.75,11.0,78.75,988.2303,2246.41,2.7075
2022-06-01 00:00:00,LAT11.0_LON79.0,11.0,79.0,1161.8486,2246.41,3.1831
2022-06-01 00:00:00,LAT11.0_LON79.25,11.0,79.25,1055.6,2246.41,2.8921
2022-06-01 00:00:00,LAT11.0_LON79.5,11.0,79.5,1302.2046,2246.41,3.5677
2022-06-01 00:00:00,LAT11.0_LON79.75,11.0,79.75,1154.488,2246.41,3.163
2022-06-01 00:00:00,LAT11.25_LON75.75,11.25,75.75,2983.6494,2246.41,8.1744
2022-06-01 00:00:00,LAT11.25_LON76.0,11.25,76.0,2473.5906,2246.41,6.777
2022-06-01 00:00:00,LAT11.25_LON76.25,11.25,76.25,2899.6292,2246.41,7.9442
2022-06-01 00:00:00,LAT11.25_LON76.5,11.25,76.5,1945.808,2246.41,5.331
2022-06-01 00:00:00,LAT11.25_LON76.75,11.25,76.75,929.1851,2246.41,2.5457
2022-06-01 00:00:00,LAT11.25_LON77.0,11.25,77.0,5173.893,2246.41,14.175
2022-06-01 00:00:00,LAT11.25_LON77.25,11.25,77.25,1011.39,2246.41,2.7709
2022-06-01 00:00:00,LAT11.25_LON77.5,11.25,77.5,1176.4313,2246.41,3.2231
2022-06-01 00:00:00,LAT11.25_LON77.75,11.25,77.75,1006.2315,2246.41,2.7568
2022-06-01 00:00:00,LAT11.25_LON78.0,11.25,78.0,1122.2849,2246.41,3.0748
2022-06-01 00:00:00,LAT11.25_LON78.25,11.25,78.25,851.1957,2246.41,2.332
2022-06-01 00:00:00,LAT11.25_LON78.5,11.25,78.5,1019.2642,2246.41,2.7925
2022-06-01 00:00:00,LAT11.25_LON78.75,11.25,78.75,1222.2283,2246.41,3.3486
2022-06-01 00:00:00,LAT11.25_LON79.0,11.25,79.0,901.0,2246.41,2.4685
2022-06-01 00:00:00,LAT11.25_LON79.25,11.25,79.25,1351.217,2246.41,3.702
2022-06-01 00:00:00,LAT11.25_LON79.5,11.25,79.5,1990.4816,2246.41,5.4534
2022-06-01 00:00:00,LAT11.25_LON79.75,11.25,79.75,1413.43,2246.41,3.8724
2022-06-01 00:00:00,LAT11.5_LON75.5,11.5,75.5,3320.784,2246.41,9.098
2022-06-01 00:00:00,LAT11.5_LON75.75,11.5,75.75,3496.8916,2246.41,9.5805
2022-06-01 00:00:00,LAT11.5_LON76.0,11.5,76.0,3208.8215,2246.41,8.7913
2022-06-01 00:00:00,LAT11.5_LON76.25,11.5,76.25,4160.883,2246.41,11.3997
2022-06-01 00:00:00,LAT11.5_LON76.5,11.5,76.5,2366.4844,2246.41,6.4835
2022-06-01 00:00:00,LAT11.5_LON76.75,11.5,76.75,1735.3966,2246.41,4.7545
2022-06-01 00:00:00,LAT11.5_LON77.0,11.5,77.0,1502.0132,2246.41,4.1151
2022-06-01 00:00:00,LAT11.5_LON77.25,11.5,77.25,1217.8739,2246.41,3.3366
2022-06-01 00:00:00,LAT11.5_LON77.5,11.5,77.5,1133.2711,2246.41,3.1049
2022-06-01 00:00:00,LAT11.5_LON77.75,11.5,77.75,1009.8461,2246.41,2.7667
2022-06-01 00:00:00,LAT11.5_LON78.0,11.5,78.0,1633.2964,2246.41,4.4748
